position_bin,n_images,n_patients,n_opportunities,false_alert,redundant_alert,first_observed_positive_alert,missed_positive,true_silence,total_fired,share_false_alert_pct,share_redundant_alert_pct,share_first_observed_positive_alert_pct,fired_per_100_images,redundancy_definition,smoke_test
2,1424,1424,11392,7355,257,542,108,3130,8154,90.201,3.152,6.647,572.612,label_historical,False
3,1169,1169,9352,6076,390,456,89,2341,6922,87.778,5.634,6.588,592.13,label_historical,False
4,1065,1065,8520,5547,468,390,77,2038,6405,86.604,7.307,6.089,601.408,label_historical,False
5,978,978,7824,5175,530,279,75,1765,5984,86.481,8.857,4.662,611.861,label_historical,False
6,899,899,7192,4777,527,241,78,1569,5545,86.15,9.504,4.346,616.796,label_historical,False
7,837,837,6696,4413,524,193,71,1495,5130,86.023,10.214,3.762,612.903,label_historical,False
8,786,786,6288,4161,569,174,47,1337,4904,84.849,11.603,3.548,623.919,label_historical,False
9,737,737,5896,3959,529,126,52,1230,4614,85.804,11.465,2.731,626.052,label_historical,False
>=10,14904,692,119232,80638,13189,1014,1023,23368,94841,85.024,13.906,1.069,636.346,label_historical,False
2,1424,1424,11392,7355,683,116,108,3130,8154,90.201,8.376,1.423,572.612,prediction_historical,False
3,1169,1169,9352,6076,803,43,89,2341,6922,87.778,11.601,0.621,592.13,prediction_historical,False
4,1065,1065,8520,5547,840,18,77,2038,6405,86.604,13.115,0.281,601.408,prediction_historical,False
5,978,978,7824,5175,797,12,75,1765,5984,86.481,13.319,0.201,611.861,prediction_historical,False
6,899,899,7192,4777,761,7,78,1569,5545,86.15,13.724,0.126,616.796,prediction_historical,False
7,837,837,6696,4413,715,2,71,1495,5130,86.023,13.938,0.039,612.903,prediction_historical,False
8,786,786,6288,4161,741,2,47,1337,4904,84.849,15.11,0.041,623.919,prediction_historical,False
9,737,737,5896,3959,653,2,52,1230,4614,85.804,14.153,0.043,626.052,prediction_historical,False
>=10,14904,692,119232,80638,14202,1,1023,23368,94841,85.024,14.975,0.001,636.346,prediction_historical,False
