analysis,redundancy_definition,history_family,cohort,include_warmup,strict_cohort,age_consistent_only,alert_category,n,per_100_followup_images,per_patient,per_100_patient_pathology_opportunities,share_of_fired_alerts_pct,n_followup_images,n_patients,n_patient_pathology_opportunities,total_fired_alerts,median_fired_alerts_per_patient,iqr_fired_alerts_per_patient,smoke_test
primary,label_historical,label_history,followup_only_primary_history,False,False,False,false_alert,122101,535.554,85.7451,66.9443,85.686,22799,1424,182392,142499,47.0,14.0-131.0,False
primary,label_historical,label_history,followup_only_primary_history,False,False,False,redundant_alert,16983,74.49,11.9263,9.3113,11.918,22799,1424,182392,142499,47.0,14.0-131.0,False
primary,label_historical,label_history,followup_only_primary_history,False,False,False,first_observed_positive_alert,3415,14.979,2.3982,1.8723,2.397,22799,1424,182392,142499,47.0,14.0-131.0,False
primary,label_historical,label_history,followup_only_primary_history,False,False,False,missed_positive,1620,7.106,1.1376,0.8882,,22799,1424,182392,142499,47.0,14.0-131.0,False
primary,label_historical,label_history,followup_only_primary_history,False,False,False,true_silence,38273,167.871,26.8771,20.9839,,22799,1424,182392,142499,47.0,14.0-131.0,False
immediate_prior_label,label_immediate_prior,label_history,followup_only_primary_history,False,False,False,false_alert,122101,535.554,85.7451,66.9443,85.686,22799,1424,182392,142499,47.0,14.0-131.0,False
immediate_prior_label,label_immediate_prior,label_history,followup_only_primary_history,False,False,False,redundant_alert,8728,38.282,6.1292,4.7853,6.125,22799,1424,182392,142499,47.0,14.0-131.0,False
immediate_prior_label,label_immediate_prior,label_history,followup_only_primary_history,False,False,False,first_observed_positive_alert,11670,51.186,8.1952,6.3983,8.19,22799,1424,182392,142499,47.0,14.0-131.0,False
immediate_prior_label,label_immediate_prior,label_history,followup_only_primary_history,False,False,False,missed_positive,1620,7.106,1.1376,0.8882,,22799,1424,182392,142499,47.0,14.0-131.0,False
immediate_prior_label,label_immediate_prior,label_history,followup_only_primary_history,False,False,False,true_silence,38273,167.871,26.8771,20.9839,,22799,1424,182392,142499,47.0,14.0-131.0,False
immediate_prior_prediction,prediction_immediate_prior,prediction_history,followup_only_primary_history,False,False,False,false_alert,122101,535.554,85.7451,66.9443,85.686,22799,1424,182392,142499,47.0,14.0-131.0,False
immediate_prior_prediction,prediction_immediate_prior,prediction_history,followup_only_primary_history,False,False,False,redundant_alert,18978,83.24,13.3272,10.4051,13.318,22799,1424,182392,142499,47.0,14.0-131.0,False
immediate_prior_prediction,prediction_immediate_prior,prediction_history,followup_only_primary_history,False,False,False,first_observed_positive_alert,1420,6.228,0.9972,0.7785,0.996,22799,1424,182392,142499,47.0,14.0-131.0,False
immediate_prior_prediction,prediction_immediate_prior,prediction_history,followup_only_primary_history,False,False,False,missed_positive,1620,7.106,1.1376,0.8882,,22799,1424,182392,142499,47.0,14.0-131.0,False
immediate_prior_prediction,prediction_immediate_prior,prediction_history,followup_only_primary_history,False,False,False,true_silence,38273,167.871,26.8771,20.9839,,22799,1424,182392,142499,47.0,14.0-131.0,False
strict_history_cohort,label_historical,label_history,followup_only_strict_history,False,True,False,false_alert,122101,535.554,85.7451,66.9443,85.686,22799,1424,182392,142499,47.0,14.0-131.0,False
strict_history_cohort,label_historical,label_history,followup_only_strict_history,False,True,False,redundant_alert,16983,74.49,11.9263,9.3113,11.918,22799,1424,182392,142499,47.0,14.0-131.0,False
strict_history_cohort,label_historical,label_history,followup_only_strict_history,False,True,False,first_observed_positive_alert,3415,14.979,2.3982,1.8723,2.397,22799,1424,182392,142499,47.0,14.0-131.0,False
strict_history_cohort,label_historical,label_history,followup_only_strict_history,False,True,False,missed_positive,1620,7.106,1.1376,0.8882,,22799,1424,182392,142499,47.0,14.0-131.0,False
strict_history_cohort,label_historical,label_history,followup_only_strict_history,False,True,False,true_silence,38273,167.871,26.8771,20.9839,,22799,1424,182392,142499,47.0,14.0-131.0,False
age_consistent_patients_only,label_historical,label_history,followup_only_primary_history,False,False,True,false_alert,95191,534.721,77.6436,66.8401,85.354,17802,1226,142416,111525,39.0,12.0-117.0,False
age_consistent_patients_only,label_historical,label_history,followup_only_primary_history,False,False,True,redundant_alert,13543,76.076,11.0465,9.5095,12.143,17802,1226,142416,111525,39.0,12.0-117.0,False
age_consistent_patients_only,label_historical,label_history,followup_only_primary_history,False,False,True,first_observed_positive_alert,2791,15.678,2.2765,1.9598,2.503,17802,1226,142416,111525,39.0,12.0-117.0,False
age_consistent_patients_only,label_historical,label_history,followup_only_primary_history,False,False,True,missed_positive,1253,7.039,1.022,0.8798,,17802,1226,142416,111525,39.0,12.0-117.0,False
age_consistent_patients_only,label_historical,label_history,followup_only_primary_history,False,False,True,true_silence,29638,166.487,24.1746,20.8109,,17802,1226,142416,111525,39.0,12.0-117.0,False
including_warmup_encounters,label_historical,label_history,followup_only_primary_history,True,False,False,false_alert,122101,535.554,85.7451,66.9443,85.686,22799,1424,182392,142499,47.0,14.0-131.0,False
including_warmup_encounters,label_historical,label_history,followup_only_primary_history,True,False,False,redundant_alert,16983,74.49,11.9263,9.3113,11.918,22799,1424,182392,142499,47.0,14.0-131.0,False
including_warmup_encounters,label_historical,label_history,followup_only_primary_history,True,False,False,first_observed_positive_alert,3415,14.979,2.3982,1.8723,2.397,22799,1424,182392,142499,47.0,14.0-131.0,False
