pathology,fired,opportunities,policy,status,smoke_test
Atelectasis,17927,22799,baseline,reference,False
Consolidation,21415,22799,baseline,reference,False
Effusion,17865,22799,baseline,reference,False
Infiltration,21260,22799,baseline,reference,False
Mass,18631,22799,baseline,reference,False
Nodule,14808,22799,baseline,reference,False
Pleural_Thickening,15653,22799,baseline,reference,False
Pneumothorax,14940,22799,baseline,reference,False
Atelectasis,499,22799,prediction_one_alert_ever,deployable_style,False
Consolidation,259,22799,prediction_one_alert_ever,deployable_style,False
Effusion,579,22799,prediction_one_alert_ever,deployable_style,False
Infiltration,163,22799,prediction_one_alert_ever,deployable_style,False
Mass,348,22799,prediction_one_alert_ever,deployable_style,False
Nodule,350,22799,prediction_one_alert_ever,deployable_style,False
Pleural_Thickening,334,22799,prediction_one_alert_ever,deployable_style,False
Pneumothorax,545,22799,prediction_one_alert_ever,deployable_style,False
Atelectasis,2830,22799,prediction_immediate_repeat_suppression,deployable_style,False
Consolidation,1130,22799,prediction_immediate_repeat_suppression,deployable_style,False
Effusion,2500,22799,prediction_immediate_repeat_suppression,deployable_style,False
Infiltration,1217,22799,prediction_immediate_repeat_suppression,deployable_style,False
Mass,2839,22799,prediction_immediate_repeat_suppression,deployable_style,False
Nodule,4029,22799,prediction_immediate_repeat_suppression,deployable_style,False
Pleural_Thickening,3709,22799,prediction_immediate_repeat_suppression,deployable_style,False
Pneumothorax,3772,22799,prediction_immediate_repeat_suppression,deployable_style,False
Atelectasis,2830,22799,prediction_threshold_crossing,deployable_style,False
Consolidation,1130,22799,prediction_threshold_crossing,deployable_style,False
Effusion,2500,22799,prediction_threshold_crossing,deployable_style,False
Infiltration,1217,22799,prediction_threshold_crossing,deployable_style,False
Mass,2839,22799,prediction_threshold_crossing,deployable_style,False
Nodule,4029,22799,prediction_threshold_crossing,deployable_style,False
Pleural_Thickening,3709,22799,prediction_threshold_crossing,deployable_style,False
Pneumothorax,3772,22799,prediction_threshold_crossing,deployable_style,False
Atelectasis,5541,22799,label_historical_oracle,retrospective_oracle_benchmark_not_deployable,False
Consolidation,10396,22799,label_historical_oracle,retrospective_oracle_benchmark_not_deployable,False
Effusion,5074,22799,label_historical_oracle,retrospective_oracle_benchmark_not_deployable,False
Infiltration,4794,22799,label_historical_oracle,retrospective_oracle_benchmark_not_deployable,False
Mass,11063,22799,label_historical_oracle,retrospective_oracle_benchmark_not_deployable,False
Nodule,8140,22799,label_historical_oracle,retrospective_oracle_benchmark_not_deployable,False
Pleural_Thickening,9879,22799,label_historical_oracle,retrospective_oracle_benchmark_not_deployable,False
Pneumothorax,8243,22799,label_historical_oracle,retrospective_oracle_benchmark_not_deployable,False
