epoch,train_loss,val_loss,val_macro_auroc,val_macro_auprc,improved,patience_counter,elapsed_s,smoke_test
1,1.0712726127867604,0.4984413981437683,0.6503807815146109,0.12078214214244612,True,0,1.64,False
2,0.9928598033836464,0.48206132650375366,0.6576755634140528,0.12274118496928095,True,0,3.33,False
3,0.9714184985830893,0.48588499426841736,0.6554106095778353,0.1232733651651263,True,0,5.11,False
4,0.9573518189729429,0.4749702215194702,0.6537470244837263,0.1189388830694099,False,1,7.04,False
5,0.9491362408095715,0.4937598705291748,0.6592980830786319,0.122947915436011,False,2,8.5,False
6,0.9434838805323332,0.47367164492607117,0.6596282395467967,0.12334965271653203,True,0,9.9,False
7,0.939226407241198,0.47916215658187866,0.6538016670483621,0.12018839854581756,False,1,11.3,False
8,0.9347149129786523,0.470743328332901,0.6496201513149016,0.11897622976881166,False,2,12.63,False
9,0.9332810375425551,0.4963075518608093,0.6559405650990084,0.12239831909414926,False,3,14.01,False
10,0.9314605589785607,0.48581433296203613,0.6515985504808524,0.11981338673067232,False,4,15.36,False
11,0.9282195094753715,0.48002174496650696,0.6537242651651852,0.11960196683800031,False,5,16.89,False
12,0.9282122435523015,0.49067920446395874,0.655631286414373,0.1200878596768204,False,6,18.5,False
13,0.9271024790854235,0.48902571201324463,0.652263090911809,0.12052694340654974,False,7,20.12,False
