pathology,n_images,n_patients,n_opportunities,false_alert,redundant_alert,first_observed_positive_alert,missed_positive,true_silence,total_fired,share_false_alert_pct,share_redundant_alert_pct,share_first_observed_positive_alert_pct,fired_per_100_images,redundancy_definition,smoke_test
Atelectasis,22799,1424,22799,11894,2008,454,660,7783,14356,82.85,13.987,3.162,62.968,label_historical,False
Cardiomegaly,22799,1424,22799,4750,417,111,446,17075,5278,89.996,7.901,2.103,23.15,label_historical,False
Consolidation,22799,1424,22799,16429,1233,428,107,4602,18090,90.818,6.816,2.366,79.346,label_historical,False
Edema,22799,1424,22799,8488,487,215,209,13400,9190,92.361,5.299,2.339,40.309,label_historical,False
Effusion,22799,1424,22799,6103,2580,301,1639,12176,8984,67.932,28.718,3.35,39.405,label_historical,False
Emphysema,22799,1424,22799,10743,552,158,348,10998,11453,93.801,4.82,1.38,50.235,label_historical,False
Fibrosis,22799,1424,22799,4904,88,95,184,17528,5087,96.403,1.73,1.868,22.312,label_historical,False
Infiltration,22799,1424,22799,13383,4712,537,638,3529,18632,71.828,25.29,2.882,81.723,label_historical,False
Mass,22799,1424,22799,10271,866,146,570,10946,11283,91.031,7.675,1.294,49.489,label_historical,False
Nodule,22799,1424,22799,9797,669,203,593,11537,10669,91.827,6.271,1.903,46.796,label_historical,False
Pleural_Thickening,22799,1424,22799,14271,604,263,174,7487,15138,94.273,3.99,1.737,66.398,label_historical,False
Pneumonia,22799,1424,22799,15715,199,211,118,6556,16125,97.457,1.234,1.309,70.727,label_historical,False
Pneumothorax,22799,1424,22799,12284,1970,318,345,7882,14572,84.299,13.519,2.182,63.915,label_historical,False
Atelectasis,22799,1424,22799,11894,2352,110,660,7783,14356,82.85,16.383,0.766,62.968,prediction_historical,False
Cardiomegaly,22799,1424,22799,4750,500,28,446,17075,5278,89.996,9.473,0.531,23.15,prediction_historical,False
Consolidation,22799,1424,22799,16429,1631,30,107,4602,18090,90.818,9.016,0.166,79.346,prediction_historical,False
Edema,22799,1424,22799,8488,638,64,209,13400,9190,92.361,6.942,0.696,40.309,prediction_historical,False
Effusion,22799,1424,22799,6103,2707,174,1639,12176,8984,67.932,30.131,1.937,39.405,prediction_historical,False
Emphysema,22799,1424,22799,10743,675,35,348,10998,11453,93.801,5.894,0.306,50.235,prediction_historical,False
Fibrosis,22799,1424,22799,4904,170,13,184,17528,5087,96.403,3.342,0.256,22.312,prediction_historical,False
Infiltration,22799,1424,22799,13383,5186,63,638,3529,18632,71.828,27.834,0.338,81.723,prediction_historical,False
Mass,22799,1424,22799,10271,973,39,570,10946,11283,91.031,8.624,0.346,49.489,prediction_historical,False
Nodule,22799,1424,22799,9797,830,42,593,11537,10669,91.827,7.78,0.394,46.796,prediction_historical,False
Pleural_Thickening,22799,1424,22799,14271,838,29,174,7487,15138,94.273,5.536,0.192,66.398,prediction_historical,False
Pneumonia,22799,1424,22799,15715,395,15,118,6556,16125,97.457,2.45,0.093,70.727,prediction_historical,False
Pneumothorax,22799,1424,22799,12284,2253,35,345,7882,14572,84.299,15.461,0.24,63.915,prediction_historical,False
