position_bin,n_images,n_patients,n_opportunities,false_alert,redundant_alert,first_observed_positive_alert,missed_positive,true_silence,total_fired,share_false_alert_pct,share_redundant_alert_pct,share_first_observed_positive_alert_pct,fired_per_100_images,redundancy_definition,smoke_test
2,1424,1424,18512,6727,244,512,335,10694,7483,89.897,3.261,6.842,525.492,label_historical,False
3,1169,1169,15197,6169,370,433,315,7910,6972,88.483,5.307,6.211,596.407,label_historical,False
4,1065,1065,13845,5823,416,345,348,6913,6584,88.442,6.318,5.24,618.216,label_historical,False
5,978,978,12714,5536,498,279,281,6120,6313,87.692,7.888,4.419,645.501,label_historical,False
6,899,899,11687,5133,512,237,250,5555,5882,87.266,8.705,4.029,654.283,label_historical,False
7,837,837,10881,4714,507,181,264,5215,5402,87.264,9.385,3.351,645.4,label_historical,False
8,786,786,10218,4542,505,166,269,4736,5213,87.128,9.687,3.184,663.232,label_historical,False
9,737,737,9581,4427,491,134,207,4322,5052,87.629,9.719,2.652,685.482,label_historical,False
>=10,14904,692,193752,95961,12842,1153,3762,80034,109956,87.272,11.679,1.049,737.762,label_historical,False
2,1424,1424,18512,6727,503,253,335,10694,7483,89.897,6.722,3.381,525.492,prediction_historical,False
3,1169,1169,15197,6169,650,153,315,7910,6972,88.483,9.323,2.194,596.407,prediction_historical,False
4,1065,1065,13845,5823,672,89,348,6913,6584,88.442,10.207,1.352,618.216,prediction_historical,False
5,978,978,12714,5536,726,51,281,6120,6313,87.692,11.5,0.808,645.501,prediction_historical,False
6,899,899,11687,5133,714,35,250,5555,5882,87.266,12.139,0.595,654.283,prediction_historical,False
7,837,837,10881,4714,663,25,264,5215,5402,87.264,12.273,0.463,645.4,prediction_historical,False
8,786,786,10218,4542,648,23,269,4736,5213,87.128,12.43,0.441,663.232,prediction_historical,False
9,737,737,9581,4427,612,13,207,4322,5052,87.629,12.114,0.257,685.482,prediction_historical,False
>=10,14904,692,193752,95961,13960,35,3762,80034,109956,87.272,12.696,0.032,737.762,prediction_historical,False
