subgroup,level,n_images,n_patients,n_opportunities,false_alert,redundant_alert,first_observed_positive_alert,missed_positive,true_silence,total_fired,share_false_alert_pct,share_redundant_alert_pct,share_first_observed_positive_alert_pct,fired_per_100_images,redundancy_definition,n_positive_opportunities,unstable_cell,instability_reason,pct_reduction_one_alert_ever,pct_missing_level,smoke_test
sex_group,F,9474,599,123162,58067,6748,1456,2594,54297,66271,87.621,10.182,2.197,699.504,label_historical,10798,False,,94.747,0.0,False
sex_group,M,13325,825,173225,80965,9637,1984,3437,77202,92586,87.448,10.409,2.143,694.829,label_historical,15058,False,,95.101,0.0,False
age_band,40-60,10552,702,137176,65354,7806,1651,2740,59625,74811,87.359,10.434,2.207,708.975,label_historical,12197,False,,94.88,0.0,False
age_band,<40,7270,436,94510,41148,4944,951,2046,45421,47043,87.469,10.51,2.022,647.084,label_historical,7941,False,,95.019,0.0,False
age_band,>60,4974,369,64662,32503,3633,836,1245,26445,36972,87.912,9.826,2.261,743.305,label_historical,5714,False,,95.026,0.0,False
age_band,Missing/Invalid,3,3,39,27,2,2,0,8,31,87.097,6.452,6.452,1033.333,label_historical,4,True,<100 images,83.871,0.0,False
projection_group,AP,14100,1088,183300,87395,10631,1850,3508,79916,99876,87.504,10.644,1.852,708.34,label_historical,15989,False,,95.638,0.0,False
projection_group,PA,8699,1232,113087,51637,5754,1590,2523,51583,58981,87.549,9.756,2.696,678.02,label_historical,9867,False,,93.795,0.0,False
position_bin,2,1424,1424,18512,6727,244,512,335,10694,7483,89.897,3.261,6.842,525.492,label_historical,1091,False,,58.706,0.0,False
position_bin,3,1169,1169,15197,6169,370,433,315,7910,6972,88.483,5.307,6.211,596.407,label_historical,1118,False,,75.617,0.0,False
position_bin,4,1065,1065,13845,5823,416,345,348,6913,6584,88.442,6.318,5.24,618.216,label_historical,1109,False,,84.994,0.0,False
position_bin,5,978,978,12714,5536,498,279,281,6120,6313,87.692,7.888,4.419,645.501,label_historical,1058,False,,90.638,0.0,False
position_bin,6,899,899,11687,5133,512,237,250,5555,5882,87.266,8.705,4.029,654.283,label_historical,999,False,,93.166,0.0,False
position_bin,7,837,837,10881,4714,507,181,264,5215,5402,87.264,9.385,3.351,645.4,label_historical,952,False,,94.78,0.0,False
position_bin,8,786,786,10218,4542,505,166,269,4736,5213,87.128,9.687,3.184,663.232,label_historical,940,False,,95.952,0.0,False
position_bin,9,737,737,9581,4427,491,134,207,4322,5052,87.629,9.719,2.652,685.482,label_historical,832,False,,96.793,0.0,False
position_bin,>=10,14904,692,193752,95961,12842,1153,3762,80034,109956,87.272,11.679,1.049,737.762,label_historical,17757,False,,99.463,0.0,False
