pathology,fired,opportunities,policy,status,smoke_test
Atelectasis,14356,22799,baseline,reference,False
Cardiomegaly,5278,22799,baseline,reference,False
Consolidation,18090,22799,baseline,reference,False
Edema,9190,22799,baseline,reference,False
Effusion,8984,22799,baseline,reference,False
Emphysema,11453,22799,baseline,reference,False
Fibrosis,5087,22799,baseline,reference,False
Infiltration,18632,22799,baseline,reference,False
Mass,11283,22799,baseline,reference,False
Nodule,10669,22799,baseline,reference,False
Pleural_Thickening,15138,22799,baseline,reference,False
Pneumonia,16125,22799,baseline,reference,False
Pneumothorax,14572,22799,baseline,reference,False
Atelectasis,694,22799,prediction_one_alert_ever,deployable_style,False
Cardiomegaly,655,22799,prediction_one_alert_ever,deployable_style,False
Consolidation,640,22799,prediction_one_alert_ever,deployable_style,False
Edema,738,22799,prediction_one_alert_ever,deployable_style,False
Effusion,683,22799,prediction_one_alert_ever,deployable_style,False
Emphysema,686,22799,prediction_one_alert_ever,deployable_style,False
Fibrosis,537,22799,prediction_one_alert_ever,deployable_style,False
Infiltration,404,22799,prediction_one_alert_ever,deployable_style,False
Mass,641,22799,prediction_one_alert_ever,deployable_style,False
Nodule,548,22799,prediction_one_alert_ever,deployable_style,False
Pleural_Thickening,635,22799,prediction_one_alert_ever,deployable_style,False
Pneumonia,566,22799,prediction_one_alert_ever,deployable_style,False
Pneumothorax,590,22799,prediction_one_alert_ever,deployable_style,False
Atelectasis,3036,22799,prediction_immediate_repeat_or_threshold_crossing,deployable_style,False
Cardiomegaly,2915,22799,prediction_immediate_repeat_or_threshold_crossing,deployable_style,False
Consolidation,2000,22799,prediction_immediate_repeat_or_threshold_crossing,deployable_style,False
Edema,2739,22799,prediction_immediate_repeat_or_threshold_crossing,deployable_style,False
Effusion,3091,22799,prediction_immediate_repeat_or_threshold_crossing,deployable_style,False
Emphysema,3865,22799,prediction_immediate_repeat_or_threshold_crossing,deployable_style,False
Fibrosis,2397,22799,prediction_immediate_repeat_or_threshold_crossing,deployable_style,False
Infiltration,2185,22799,prediction_immediate_repeat_or_threshold_crossing,deployable_style,False
Mass,4063,22799,prediction_immediate_repeat_or_threshold_crossing,deployable_style,False
Nodule,3865,22799,prediction_immediate_repeat_or_threshold_crossing,deployable_style,False
Pleural_Thickening,3265,22799,prediction_immediate_repeat_or_threshold_crossing,deployable_style,False
Pneumonia,3564,22799,prediction_immediate_repeat_or_threshold_crossing,deployable_style,False
Pneumothorax,3345,22799,prediction_immediate_repeat_or_threshold_crossing,deployable_style,False
Atelectasis,4597,22799,prediction_score_change,deployable_style_score_change_delta_0.1,False
Cardiomegaly,3300,22799,prediction_score_change,deployable_style_score_change_delta_0.1,False
Consolidation,5529,22799,prediction_score_change,deployable_style_score_change_delta_0.1,False
Edema,4320,22799,prediction_score_change,deployable_style_score_change_delta_0.1,False
Effusion,3656,22799,prediction_score_change,deployable_style_score_change_delta_0.1,False
Emphysema,5483,22799,prediction_score_change,deployable_style_score_change_delta_0.1,False
Fibrosis,2886,22799,prediction_score_change,deployable_style_score_change_delta_0.1,False
Infiltration,4565,22799,prediction_score_change,deployable_style_score_change_delta_0.1,False
Mass,4912,22799,prediction_score_change,deployable_style_score_change_delta_0.1,False
Nodule,4150,22799,prediction_score_change,deployable_style_score_change_delta_0.1,False
Pleural_Thickening,5978,22799,prediction_score_change,deployable_style_score_change_delta_0.1,False
Pneumonia,4688,22799,prediction_score_change,deployable_style_score_change_delta_0.1,False
Pneumothorax,6072,22799,prediction_score_change,deployable_style_score_change_delta_0.1,False
Atelectasis,3891,22799,label_historical_oracle,retrospective_oracle_benchmark_not_deployable,False
Cardiomegaly,3212,22799,label_historical_oracle,retrospective_oracle_benchmark_not_deployable,False
Consolidation,8010,22799,label_historical_oracle,retrospective_oracle_benchmark_not_deployable,False
Edema,4831,22799,label_historical_oracle,retrospective_oracle_benchmark_not_deployable,False
Effusion,1717,22799,label_historical_oracle,retrospective_oracle_benchmark_not_deployable,False
Emphysema,8206,22799,label_historical_oracle,retrospective_oracle_benchmark_not_deployable,False
Fibrosis,4175,22799,label_historical_oracle,retrospective_oracle_benchmark_not_deployable,False
Infiltration,3839,22799,label_historical_oracle,retrospective_oracle_benchmark_not_deployable,False
Mass,6252,22799,label_historical_oracle,retrospective_oracle_benchmark_not_deployable,False
Nodule,5615,22799,label_historical_oracle,retrospective_oracle_benchmark_not_deployable,False
Pleural_Thickening,9166,22799,label_historical_oracle,retrospective_oracle_benchmark_not_deployable,False
Pneumonia,11221,22799,label_historical_oracle,retrospective_oracle_benchmark_not_deployable,False
Pneumothorax,8135,22799,label_historical_oracle,retrospective_oracle_benchmark_not_deployable,False
