position_bin,n_images,n_patients,n_opportunities,false_alert,redundant_alert,first_observed_positive_alert,missed_positive,true_silence,total_fired,share_false_alert_pct,share_redundant_alert_pct,share_first_observed_positive_alert_pct,fired_per_100_images,redundancy_definition,smoke_test
2,1424,1424,11392,4558,216,427,264,5927,5201,87.637,4.153,8.21,365.239,label_historical,False
3,1169,1169,9352,3947,330,356,249,4470,4633,85.193,7.123,7.684,396.322,label_historical,False
4,1065,1065,8520,3690,392,319,224,3895,4401,83.845,8.907,7.248,413.239,label_historical,False
5,978,978,7824,3441,445,219,220,3499,4105,83.825,10.84,5.335,419.734,label_historical,False
6,899,899,7192,3147,443,193,210,3199,3783,83.188,11.71,5.102,420.801,label_historical,False
7,837,837,6696,3007,423,147,218,2901,3577,84.065,11.826,4.11,427.36,label_historical,False
8,786,786,6288,2817,480,138,172,2681,3435,82.009,13.974,4.017,437.023,label_historical,False
9,737,737,5896,2749,426,97,184,2440,3272,84.016,13.02,2.965,443.962,label_historical,False
>=10,14904,692,119232,56577,11300,739,3187,47429,68616,82.455,16.468,1.077,460.386,label_historical,False
2,1424,1424,11392,4558,445,198,264,5927,5201,87.637,8.556,3.807,365.239,prediction_historical,False
3,1169,1169,9352,3947,577,109,249,4470,4633,85.193,12.454,2.353,396.322,prediction_historical,False
4,1065,1065,8520,3690,645,66,224,3895,4401,83.845,14.656,1.5,413.239,prediction_historical,False
5,978,978,7824,3441,634,30,220,3499,4105,83.825,15.445,0.731,419.734,prediction_historical,False
6,899,899,7192,3147,609,27,210,3199,3783,83.188,16.098,0.714,420.801,prediction_historical,False
7,837,837,6696,3007,559,11,218,2901,3577,84.065,15.628,0.308,427.36,prediction_historical,False
8,786,786,6288,2817,606,12,172,2681,3435,82.009,17.642,0.349,437.023,prediction_historical,False
9,737,737,5896,2749,513,10,184,2440,3272,84.016,15.678,0.306,443.962,prediction_historical,False
>=10,14904,692,119232,56577,12019,20,3187,47429,68616,82.455,17.516,0.029,460.386,prediction_historical,False
