pathology,n_pairs_followup,n_positive_followup,n_first_observed_followup,n_positive_after_prior_negative,n_positive_after_prior_positive,n_persistent_or_repeat,prevalence_followup_pct,pct_first_observed_followup,pct_repeat_followup,diagnostic_n_positive_pooled,diagnostic_n_first_observed_pooled,diagnostic_pct_first_observed_pooled,index_artefact_inflation_pp
Atelectasis,81315,9853,3275,6395,3458,6578,12.1171,33.239,66.761,11559,4981,43.092,9.853
Cardiomegaly,81315,2008,798,1387,621,1210,2.4694,39.741,60.259,2776,1566,56.412,16.671
Consolidation,81315,4240,1723,3117,1123,2517,5.2143,40.637,59.363,4667,2150,46.068,5.431
Edema,81315,2221,991,1596,625,1230,2.7314,44.62,55.38,2303,1073,46.591,1.971
Effusion,81315,12035,2993,6611,5424,9042,14.8005,24.869,75.131,13317,4275,32.102,7.233
Emphysema,81315,2251,781,1308,943,1470,2.7682,34.696,65.304,2516,1046,41.574,6.878
Fibrosis,81315,1115,689,897,218,426,1.3712,61.794,38.206,1686,1260,74.733,12.939
Hernia,81315,144,51,71,73,93,0.1771,35.417,64.583,227,134,59.031,23.614
Infiltration,81315,16287,4428,10244,6043,11859,20.0295,27.187,72.813,19894,8035,40.389,13.202
Mass,81315,4499,1285,2608,1891,3214,5.5328,28.562,71.438,5782,2568,44.414,15.852
Nodule,81315,4667,1730,3176,1491,2937,5.7394,37.069,62.931,6331,3394,53.609,16.54
Pleural_Thickening,81315,2622,1243,2032,590,1379,3.2245,47.407,52.593,3385,2006,59.261,11.854
Pneumonia,81315,1253,830,1106,147,423,1.5409,66.241,33.759,1431,1008,70.44,4.199
Pneumothorax,81315,5033,1218,2378,2655,3815,6.1895,24.2,75.8,5302,1487,28.046,3.846
