analysis,redundancy_definition,history_family,cohort,include_warmup,strict_cohort,age_consistent_only,alert_category,n,per_100_followup_images,per_patient,per_100_patient_pathology_opportunities,share_of_fired_alerts_pct,n_followup_images,n_patients,n_patient_pathology_opportunities,total_fired_alerts,median_fired_alerts_per_patient,iqr_fired_alerts_per_patient,smoke_test
primary,label_historical,label_history,followup_only_primary_history,False,False,False,false_alert,139032,609.816,97.6348,46.9089,87.52,22799,1424,296387,158857,45.0,11.0-137.0,False
primary,label_historical,label_history,followup_only_primary_history,False,False,False,redundant_alert,16385,71.867,11.5063,5.5282,10.314,22799,1424,296387,158857,45.0,11.0-137.0,False
primary,label_historical,label_history,followup_only_primary_history,False,False,False,first_observed_positive_alert,3440,15.088,2.4157,1.1606,2.165,22799,1424,296387,158857,45.0,11.0-137.0,False
primary,label_historical,label_history,followup_only_primary_history,False,False,False,missed_positive,6031,26.453,4.2353,2.0348,,22799,1424,296387,158857,45.0,11.0-137.0,False
primary,label_historical,label_history,followup_only_primary_history,False,False,False,true_silence,131499,576.775,92.3448,44.3673,,22799,1424,296387,158857,45.0,11.0-137.0,False
immediate_prior_label,label_immediate_prior,label_history,followup_only_primary_history,False,False,False,false_alert,139032,609.816,97.6348,46.9089,87.52,22799,1424,296387,158857,45.0,11.0-137.0,False
immediate_prior_label,label_immediate_prior,label_history,followup_only_primary_history,False,False,False,redundant_alert,8503,37.295,5.9712,2.8689,5.353,22799,1424,296387,158857,45.0,11.0-137.0,False
immediate_prior_label,label_immediate_prior,label_history,followup_only_primary_history,False,False,False,first_observed_positive_alert,11322,49.66,7.9508,3.82,7.127,22799,1424,296387,158857,45.0,11.0-137.0,False
immediate_prior_label,label_immediate_prior,label_history,followup_only_primary_history,False,False,False,missed_positive,6031,26.453,4.2353,2.0348,,22799,1424,296387,158857,45.0,11.0-137.0,False
immediate_prior_label,label_immediate_prior,label_history,followup_only_primary_history,False,False,False,true_silence,131499,576.775,92.3448,44.3673,,22799,1424,296387,158857,45.0,11.0-137.0,False
immediate_prior_prediction,prediction_immediate_prior,prediction_history,followup_only_primary_history,False,False,False,false_alert,139032,609.816,97.6348,46.9089,87.52,22799,1424,296387,158857,45.0,11.0-137.0,False
immediate_prior_prediction,prediction_immediate_prior,prediction_history,followup_only_primary_history,False,False,False,redundant_alert,16485,72.306,11.5765,5.562,10.377,22799,1424,296387,158857,45.0,11.0-137.0,False
immediate_prior_prediction,prediction_immediate_prior,prediction_history,followup_only_primary_history,False,False,False,first_observed_positive_alert,3340,14.65,2.3455,1.1269,2.103,22799,1424,296387,158857,45.0,11.0-137.0,False
immediate_prior_prediction,prediction_immediate_prior,prediction_history,followup_only_primary_history,False,False,False,missed_positive,6031,26.453,4.2353,2.0348,,22799,1424,296387,158857,45.0,11.0-137.0,False
immediate_prior_prediction,prediction_immediate_prior,prediction_history,followup_only_primary_history,False,False,False,true_silence,131499,576.775,92.3448,44.3673,,22799,1424,296387,158857,45.0,11.0-137.0,False
strict_history_cohort,label_historical,label_history,followup_only_strict_history,False,True,False,false_alert,139032,609.816,97.6348,46.9089,87.52,22799,1424,296387,158857,45.0,11.0-137.0,False
strict_history_cohort,label_historical,label_history,followup_only_strict_history,False,True,False,redundant_alert,16385,71.867,11.5063,5.5282,10.314,22799,1424,296387,158857,45.0,11.0-137.0,False
strict_history_cohort,label_historical,label_history,followup_only_strict_history,False,True,False,first_observed_positive_alert,3440,15.088,2.4157,1.1606,2.165,22799,1424,296387,158857,45.0,11.0-137.0,False
strict_history_cohort,label_historical,label_history,followup_only_strict_history,False,True,False,missed_positive,6031,26.453,4.2353,2.0348,,22799,1424,296387,158857,45.0,11.0-137.0,False
strict_history_cohort,label_historical,label_history,followup_only_strict_history,False,True,False,true_silence,131499,576.775,92.3448,44.3673,,22799,1424,296387,158857,45.0,11.0-137.0,False
age_consistent_patients_only,label_historical,label_history,followup_only_primary_history,False,False,True,false_alert,110429,620.318,90.0726,47.7168,87.393,17802,1226,231426,126359,38.0,9.0-125.0,False
age_consistent_patients_only,label_historical,label_history,followup_only_primary_history,False,False,True,redundant_alert,13096,73.565,10.6819,5.6588,10.364,17802,1226,231426,126359,38.0,9.0-125.0,False
age_consistent_patients_only,label_historical,label_history,followup_only_primary_history,False,False,True,first_observed_positive_alert,2834,15.92,2.3116,1.2246,2.243,17802,1226,231426,126359,38.0,9.0-125.0,False
age_consistent_patients_only,label_historical,label_history,followup_only_primary_history,False,False,True,missed_positive,4622,25.963,3.77,1.9972,,17802,1226,231426,126359,38.0,9.0-125.0,False
