pathology,n_positive_train,raw_pos_weight,applied_pos_weight,weight_was_capped,cap_value,smoke_test
Infiltration,12763,5.132,5.132,False,20.0,False
Effusion,8092,8.672,8.672,False,20.0,False
Atelectasis,7640,9.244,9.244,False,20.0,False
Nodule,4301,17.197,17.197,False,20.0,False
Mass,3690,20.21,20.0,True,20.0,False
Consolidation,2636,28.69,20.0,True,20.0,False
Pneumothorax,2427,31.247,20.0,True,20.0,False
Pleural_Thickening,2027,37.611,20.0,True,20.0,False
Cardiomegaly,1542,49.755,20.0,True,20.0,False
Edema,1324,58.112,20.0,True,20.0,False
Emphysema,1316,58.471,20.0,True,20.0,False
Fibrosis,1121,68.816,20.0,True,20.0,False
Pneumonia,790,98.068,20.0,True,20.0,False
