epoch,train_loss,val_loss,val_macro_auroc,val_macro_auprc,improved,patience_counter,elapsed_s,smoke_test
1,0.9921226711834178,0.5840339660644531,0.6536184341651704,0.09157893736731632,True,0,1.04,False
2,0.9310405848462597,0.5265150666236877,0.6599847893245905,0.08933723254460069,False,1,2.04,False
3,0.8983587061657625,0.49231022596359253,0.6767498458295265,0.09710440868426372,True,0,3.02,False
4,0.8769255903811236,0.4560891091823578,0.6645046356657376,0.09565820816847553,False,1,3.87,False
5,0.8640930362386641,0.4411732852458954,0.6639776398944582,0.0971877480364861,True,0,5.07,False
6,0.8535104514726626,0.4240664839744568,0.6824716846778134,0.0985529575981903,True,0,6.01,False
7,0.8462560319043453,0.4085349142551422,0.6743801075988913,0.10165596793889677,True,0,6.84,False
8,0.8418199273885465,0.4078049659729004,0.6759846527166193,0.0984811621265541,False,1,7.8,False
9,0.8375392887327406,0.39900651574134827,0.6834533318419042,0.09909410556260231,False,2,8.69,False
10,0.8339221407385433,0.3998359143733978,0.6857053594190783,0.10173719186701706,True,0,9.67,False
11,0.8327155987811244,0.3895833194255829,0.6876359021849825,0.09990961503985177,False,1,10.56,False
12,0.8291042550326952,0.3874090313911438,0.6791289216316222,0.09801755992252371,False,2,11.65,False
13,0.8276945537601421,0.3855549395084381,0.6741244032385828,0.0990614429995251,False,3,12.53,False
14,0.826805943367528,0.3866189420223236,0.6838248729966576,0.10071124227957662,False,4,13.33,False
15,0.8252429295988644,0.3898734748363495,0.6760699796389691,0.10146944242817821,False,5,14.3,False
16,0.8237272091940337,0.3803282082080841,0.6757638466342002,0.09899854444321053,False,6,15.2,False
17,0.8221476011806064,0.3807929754257202,0.690088785737076,0.10345996563901842,True,0,16.12,False
18,0.8215291087144341,0.3821883201599121,0.6834911292792989,0.10233309242036194,False,1,17.15,False
19,0.8217747234830669,0.38800880312919617,0.6816947413954099,0.1011935359934001,False,2,18.29,False
20,0.8212636611820047,0.3808189928531647,0.6866370055442649,0.10061868254812159,False,3,19.17,False
21,0.8187277309255663,0.3705953061580658,0.6768821807542297,0.0977412955519206,False,4,20.28,False
22,0.818266407337064,0.37255921959877014,0.6894924821163559,0.10179348480608731,False,5,21.19,False
23,0.818662520717172,0.3773919641971588,0.683506476382066,0.10060740829886958,False,6,22.13,False
24,0.8175202467862297,0.37522807717323303,0.6790073258755,0.10256182129182502,False,7,23.07,False
