analysis,redundancy_definition,history_family,cohort,include_warmup,strict_cohort,age_consistent_only,alert_category,n,per_100_followup_images,per_patient,per_100_patient_pathology_opportunities,share_of_fired_alerts_pct,n_followup_images,n_patients,n_patient_pathology_opportunities,total_fired_alerts,median_fired_alerts_per_patient,iqr_fired_alerts_per_patient,smoke_test
primary,label_historical,label_history,followup_only_primary_history,False,False,False,false_alert,83933,368.143,58.9417,46.0179,83.083,22799,1424,182392,101023,31.0,8.0-92.2,False
primary,label_historical,label_history,followup_only_primary_history,False,False,False,redundant_alert,14455,63.402,10.151,7.9252,14.309,22799,1424,182392,101023,31.0,8.0-92.2,False
primary,label_historical,label_history,followup_only_primary_history,False,False,False,first_observed_positive_alert,2635,11.558,1.8504,1.4447,2.608,22799,1424,182392,101023,31.0,8.0-92.2,False
primary,label_historical,label_history,followup_only_primary_history,False,False,False,missed_positive,4928,21.615,3.4607,2.7019,,22799,1424,182392,101023,31.0,8.0-92.2,False
primary,label_historical,label_history,followup_only_primary_history,False,False,False,true_silence,76441,335.282,53.6805,41.9103,,22799,1424,182392,101023,31.0,8.0-92.2,False
immediate_prior_label,label_immediate_prior,label_history,followup_only_primary_history,False,False,False,false_alert,83933,368.143,58.9417,46.0179,83.083,22799,1424,182392,101023,31.0,8.0-92.2,False
immediate_prior_label,label_immediate_prior,label_history,followup_only_primary_history,False,False,False,redundant_alert,7507,32.927,5.2718,4.1159,7.431,22799,1424,182392,101023,31.0,8.0-92.2,False
immediate_prior_label,label_immediate_prior,label_history,followup_only_primary_history,False,False,False,first_observed_positive_alert,9583,42.033,6.7296,5.2541,9.486,22799,1424,182392,101023,31.0,8.0-92.2,False
immediate_prior_label,label_immediate_prior,label_history,followup_only_primary_history,False,False,False,missed_positive,4928,21.615,3.4607,2.7019,,22799,1424,182392,101023,31.0,8.0-92.2,False
immediate_prior_label,label_immediate_prior,label_history,followup_only_primary_history,False,False,False,true_silence,76441,335.282,53.6805,41.9103,,22799,1424,182392,101023,31.0,8.0-92.2,False
immediate_prior_prediction,prediction_immediate_prior,prediction_history,followup_only_primary_history,False,False,False,false_alert,83933,368.143,58.9417,46.0179,83.083,22799,1424,182392,101023,31.0,8.0-92.2,False
immediate_prior_prediction,prediction_immediate_prior,prediction_history,followup_only_primary_history,False,False,False,redundant_alert,14209,62.323,9.9782,7.7904,14.065,22799,1424,182392,101023,31.0,8.0-92.2,False
immediate_prior_prediction,prediction_immediate_prior,prediction_history,followup_only_primary_history,False,False,False,first_observed_positive_alert,2881,12.637,2.0232,1.5796,2.852,22799,1424,182392,101023,31.0,8.0-92.2,False
immediate_prior_prediction,prediction_immediate_prior,prediction_history,followup_only_primary_history,False,False,False,missed_positive,4928,21.615,3.4607,2.7019,,22799,1424,182392,101023,31.0,8.0-92.2,False
immediate_prior_prediction,prediction_immediate_prior,prediction_history,followup_only_primary_history,False,False,False,true_silence,76441,335.282,53.6805,41.9103,,22799,1424,182392,101023,31.0,8.0-92.2,False
strict_history_cohort,label_historical,label_history,followup_only_strict_history,False,True,False,false_alert,83933,368.143,58.9417,46.0179,83.083,22799,1424,182392,101023,31.0,8.0-92.2,False
strict_history_cohort,label_historical,label_history,followup_only_strict_history,False,True,False,redundant_alert,14455,63.402,10.151,7.9252,14.309,22799,1424,182392,101023,31.0,8.0-92.2,False
strict_history_cohort,label_historical,label_history,followup_only_strict_history,False,True,False,first_observed_positive_alert,2635,11.558,1.8504,1.4447,2.608,22799,1424,182392,101023,31.0,8.0-92.2,False
strict_history_cohort,label_historical,label_history,followup_only_strict_history,False,True,False,missed_positive,4928,21.615,3.4607,2.7019,,22799,1424,182392,101023,31.0,8.0-92.2,False
strict_history_cohort,label_historical,label_history,followup_only_strict_history,False,True,False,true_silence,76441,335.282,53.6805,41.9103,,22799,1424,182392,101023,31.0,8.0-92.2,False
age_consistent_patients_only,label_historical,label_history,followup_only_primary_history,False,False,True,false_alert,65704,369.082,53.5922,46.1353,82.7,17802,1226,142416,79449,26.0,7.0-83.0,False
age_consistent_patients_only,label_historical,label_history,followup_only_primary_history,False,False,True,redundant_alert,11570,64.993,9.4372,8.1241,14.563,17802,1226,142416,79449,26.0,7.0-83.0,False
age_consistent_patients_only,label_historical,label_history,followup_only_primary_history,False,False,True,first_observed_positive_alert,2175,12.218,1.7741,1.5272,2.738,17802,1226,142416,79449,26.0,7.0-83.0,False
age_consistent_patients_only,label_historical,label_history,followup_only_primary_history,False,False,True,missed_positive,3842,21.582,3.1338,2.6977,,17802,1226,142416,79449,26.0,7.0-83.0,False
age_consistent_patients_only,label_historical,label_history,followup_only_primary_history,False,False,True,true_silence,59125,332.126,48.2259,41.5157,,17802,1226,142416,79449,26.0,7.0-83.0,False
including_warmup_encounters,label_historical,label_history,followup_only_primary_history,True,False,False,false_alert,83933,368.143,58.9417,46.0179,83.083,22799,1424,182392,101023,31.0,8.0-92.2,False
including_warmup_encounters,label_historical,label_history,followup_only_primary_history,True,False,False,redundant_alert,14455,63.402,10.151,7.9252,14.309,22799,1424,182392,101023,31.0,8.0-92.2,False
including_warmup_encounters,label_historical,label_history,followup_only_primary_history,True,False,False,first_observed_positive_alert,2635,11.558,1.8504,1.4447,2.608,22799,1424,182392,101023,31.0,8.0-92.2,False
including_warmup_encounters,label_historical,label_history,followup_only_primary_history,True,False,False,missed_positive,4928,21.615,3.4607,2.7019,,22799,1424,182392,101023,31.0,8.0-92.2,False
including_warmup_encounters,label_historical,label_history,followup_only_primary_history,True,False,False,true_silence,76441,335.282,53.6805,41.9103,,22799,1424,182392,101023,31.0,8.0-92.2,False
