pathology,fired,opportunities,policy,status,smoke_test
Atelectasis,11481,22799,baseline,reference,False
Consolidation,18097,22799,baseline,reference,False
Effusion,9953,22799,baseline,reference,False
Infiltration,21260,22799,baseline,reference,False
Mass,12060,22799,baseline,reference,False
Nodule,8812,22799,baseline,reference,False
Pleural_Thickening,9631,22799,baseline,reference,False
Pneumothorax,9729,22799,baseline,reference,False
Atelectasis,701,22799,prediction_one_alert_ever,deployable_style,False
Consolidation,600,22799,prediction_one_alert_ever,deployable_style,False
Effusion,726,22799,prediction_one_alert_ever,deployable_style,False
Infiltration,163,22799,prediction_one_alert_ever,deployable_style,False
Mass,668,22799,prediction_one_alert_ever,deployable_style,False
Nodule,602,22799,prediction_one_alert_ever,deployable_style,False
Pleural_Thickening,618,22799,prediction_one_alert_ever,deployable_style,False
Pneumothorax,690,22799,prediction_one_alert_ever,deployable_style,False
Atelectasis,4125,22799,prediction_immediate_repeat_suppression,deployable_style,False
Consolidation,2593,22799,prediction_immediate_repeat_suppression,deployable_style,False
Effusion,3712,22799,prediction_immediate_repeat_suppression,deployable_style,False
Infiltration,1217,22799,prediction_immediate_repeat_suppression,deployable_style,False
Mass,4303,22799,prediction_immediate_repeat_suppression,deployable_style,False
Nodule,4112,22799,prediction_immediate_repeat_suppression,deployable_style,False
Pleural_Thickening,3950,22799,prediction_immediate_repeat_suppression,deployable_style,False
Pneumothorax,3690,22799,prediction_immediate_repeat_suppression,deployable_style,False
Atelectasis,4125,22799,prediction_threshold_crossing,deployable_style,False
Consolidation,2593,22799,prediction_threshold_crossing,deployable_style,False
Effusion,3712,22799,prediction_threshold_crossing,deployable_style,False
Infiltration,1217,22799,prediction_threshold_crossing,deployable_style,False
Mass,4303,22799,prediction_threshold_crossing,deployable_style,False
Nodule,4112,22799,prediction_threshold_crossing,deployable_style,False
Pleural_Thickening,3950,22799,prediction_threshold_crossing,deployable_style,False
Pneumothorax,3690,22799,prediction_threshold_crossing,deployable_style,False
Atelectasis,3209,22799,label_historical_oracle,retrospective_oracle_benchmark_not_deployable,False
Consolidation,8082,22799,label_historical_oracle,retrospective_oracle_benchmark_not_deployable,False
Effusion,2107,22799,label_historical_oracle,retrospective_oracle_benchmark_not_deployable,False
Infiltration,4794,22799,label_historical_oracle,retrospective_oracle_benchmark_not_deployable,False
Mass,6566,22799,label_historical_oracle,retrospective_oracle_benchmark_not_deployable,False
Nodule,4566,22799,label_historical_oracle,retrospective_oracle_benchmark_not_deployable,False
Pleural_Thickening,5696,22799,label_historical_oracle,retrospective_oracle_benchmark_not_deployable,False
Pneumothorax,4573,22799,label_historical_oracle,retrospective_oracle_benchmark_not_deployable,False
