pathology,test_prevalence_pct,selected_threshold,auroc,auprc,sensitivity_at_threshold,ppv_at_threshold,n_followup_opportunities,n_positive,n_patients,fired_alerts,alerts_per_100_images,n_false,false_share_pct,n_redundant,redundant_share_pct,redundant_share_of_correct_pct,n_first_observed,first_observed_share_pct,n_missed_positive,ci_eligible,smoke_test
Infiltration,2387.87,0.43,0.622511256719166,0.3329880129589233,0.8877617801047121,0.2605397099779122,22799,5887,1424,18632,81.723,13383,71.828,4712,25.29,89.769,537,2.882,638,True,False
Effusion,1819.82,0.63,0.7386878037064672,0.3690778264678799,0.6348218119364534,0.3213431862638556,22799,4520,1424,8984,39.405,6103,67.932,2580,28.718,89.552,301,3.35,1639,True,False
Atelectasis,1281.06,0.52,0.6609268514615905,0.2169333774071393,0.7813357731015553,0.1694444444444444,22799,3122,1424,14356,62.968,11894,82.85,2008,13.987,81.56,454,3.162,660,True,False
Nodule,634.08,0.5,0.5886376743563353,0.0920063177049464,0.5945779420825632,0.0780618022973628,22799,1465,1424,10669,46.796,9797,91.827,669,6.271,76.72,203,1.903,593,True,False
Mass,682.92,0.51,0.617641096221915,0.1088931124395163,0.6344393592677345,0.0891765841106465,22799,1582,1424,11283,49.489,10271,91.031,866,7.675,85.573,146,1.294,570,True,False
Consolidation,709.1,0.3,0.6782104217050373,0.1147232394562547,0.934435261707989,0.0888842303862481,22799,1768,1424,18090,79.346,16429,90.818,1233,6.816,74.232,428,2.366,107,True,False
Pneumothorax,1041.18,0.3,0.7222823949456657,0.2230742842141431,0.8682926829268293,0.1448060075093867,22799,2633,1424,14572,63.915,12284,84.299,1970,13.519,86.101,318,2.182,345,True,False
Pleural_Thickening,446.55,0.31,0.6556634490741411,0.0802711470829204,0.8127734033245845,0.0567328244274809,22799,1041,1424,15138,66.398,14271,94.273,604,3.99,69.666,263,1.737,174,True,False
Cardiomegaly,417.64,0.44,0.7421877488022878,0.1625166320231274,0.5500467726847521,0.1028151774785801,22799,974,1424,5278,23.15,4750,89.996,417,7.901,78.977,111,2.103,446,True,False
Edema,361.38,0.32,0.7629229634969167,0.0896304891894916,0.7664864864864865,0.0758126603934987,22799,911,1424,9190,40.309,8488,92.361,487,5.299,69.373,215,2.339,209,True,False
Emphysema,427.02,0.24,0.6474906876051811,0.0725970744725742,0.6688014638609332,0.0605383022774327,22799,1058,1424,11453,50.235,10743,93.801,552,4.82,77.746,158,1.38,348,True,False
Fibrosis,169.95,0.28,0.7171388213925309,0.0428776504199705,0.5172413793103449,0.0402360515021459,22799,367,1424,5087,22.312,4904,96.403,88,1.73,48.087,95,1.868,184,True,False
Pneumonia,216.83,0.12,0.5624812064970206,0.0270750546588604,0.7639639639639639,0.0243161094224924,22799,528,1424,16125,70.727,15715,97.457,199,1.234,48.537,211,1.309,118,True,False
