metric,point_estimate,ci_lower,ci_upper,bootstrap_se,n_replicates,n_undefined_replicates,unstable,smoke_test
total_fired_alerts,158857.0,146458.55,172089.65,6500.317602555516,1000,0,False,False
alerts_per_100_followup_images,696.7717882363262,682.6601947000073,708.7315099385025,6.80537860062176,1000,0,False,False
alerts_per_patient,111.55688202247191,102.85010533707866,120.84947331460674,4.564829777075503,1000,0,False,False
false_alert_share_pct,87.52022259012823,87.18400938069976,87.82487858793888,0.163928159172634,1000,0,False,False
redundant_share_pct,10.314307836607767,9.991942262556078,10.649003255254426,0.1672336651477809,1000,0,False,False
first_observed_share_pct,2.1654695732640046,2.0397333734114076,2.30350300640821,0.06728525972411528,1000,0,False,False
redundant_share_of_correct_pct,82.64817150063053,81.56968050082061,83.70318730942898,0.5512410044221375,1000,0,False,False
first_observed_share_of_correct_pct,17.351828499369486,16.296812690571013,18.430319499179383,0.5512410044221375,1000,0,False,False
false_alert_per_100_images,609.8162200096496,597.8520221729989,620.9245042943612,6.041643839492166,1000,0,False,False
redundant_per_100_images,71.86718715733146,68.90796894408886,74.71702881663056,1.4696646962203757,1000,0,False,False
first_observed_per_100_images,15.088381069345147,14.270279544892956,15.955198053557115,0.42828133942474605,1000,0,False,False
missed_positive_n,6031.0,5578.975,6470.025,232.40519308477764,1000,0,False,False
mean_alerts_per_image,6.967717882363262,6.826601947000072,7.087315099385026,0.0680537860062176,1000,0,False,False
pct_images_with_at_least_one_alert,98.18851704022106,97.84570004028599,98.47444965431478,0.1551350762994192,1000,0,False,False
sens_first_observed,0.6709576750536376,0.655995152576078,0.6851914516659877,0.007424538897430621,1000,0,False,False
sens_repeat,0.7904385160885715,0.7804865461040946,0.8009934371503418,0.00534666378085427,1000,0,False,False
detection_gap_pp,11.948084103493395,10.40165928691078,13.652113534860549,0.8421386230578691,1000,0,False,False
median_alerts_per_patient,45.0,40.0,51.0,3.129327194252574,1000,0,False,False
