operating_point,pathology,threshold,n_opportunities,n_positive,fired,sensitivity,ppv,alert_rate,smoke_test
frozen_primary,Infiltration,0.43,22799,5887,18632,0.8916,0.2817,0.8172,False
frozen_primary,Effusion,0.63,22799,4520,8984,0.6374,0.3207,0.3941,False
frozen_primary,Atelectasis,0.52,22799,3122,14356,0.7886,0.1715,0.6297,False
frozen_primary,Nodule,0.5,22799,1465,10669,0.5952,0.0817,0.468,False
frozen_primary,Mass,0.51,22799,1582,11283,0.6397,0.0897,0.4949,False
frozen_primary,Consolidation,0.3,22799,1768,18090,0.9395,0.0918,0.7935,False
frozen_primary,Pneumothorax,0.3,22799,2633,14572,0.869,0.157,0.6392,False
frozen_primary,Pleural_Thickening,0.31,22799,1041,15138,0.8329,0.0573,0.664,False
frozen_primary,Cardiomegaly,0.44,22799,974,5278,0.5421,0.1,0.2315,False
frozen_primary,Edema,0.32,22799,911,9190,0.7706,0.0764,0.4031,False
frozen_primary,Emphysema,0.24,22799,1058,11453,0.6711,0.062,0.5023,False
frozen_primary,Fibrosis,0.28,22799,367,5087,0.4986,0.036,0.2231,False
frozen_primary,Pneumonia,0.12,22799,528,16125,0.7765,0.0254,0.7073,False
fixed_0.50,Infiltration,0.5,22799,5887,15800,0.7929,0.2954,0.693,False
fixed_0.50,Effusion,0.5,22799,4520,12978,0.8124,0.2829,0.5692,False
fixed_0.50,Atelectasis,0.5,22799,3122,15073,0.8136,0.1685,0.6611,False
fixed_0.50,Nodule,0.5,22799,1465,10669,0.5952,0.0817,0.468,False
fixed_0.50,Mass,0.5,22799,1582,11754,0.6555,0.0882,0.5155,False
fixed_0.50,Consolidation,0.5,22799,1768,14684,0.8546,0.1029,0.6441,False
fixed_0.50,Pneumothorax,0.5,22799,2633,8492,0.6476,0.2008,0.3725,False
fixed_0.50,Pleural_Thickening,0.5,22799,1041,8131,0.5581,0.0715,0.3566,False
fixed_0.50,Cardiomegaly,0.5,22799,974,3892,0.4569,0.1143,0.1707,False
fixed_0.50,Edema,0.5,22799,911,5227,0.5148,0.0897,0.2293,False
fixed_0.50,Emphysema,0.5,22799,1058,3562,0.276,0.082,0.1562,False
fixed_0.50,Fibrosis,0.5,22799,367,1599,0.218,0.05,0.0701,False
fixed_0.50,Pneumonia,0.5,22799,528,741,0.0473,0.0337,0.0325,False
fixed_0.75,Infiltration,0.75,22799,5887,2976,0.1986,0.3928,0.1305,False
fixed_0.75,Effusion,0.75,22799,4520,4961,0.4066,0.3705,0.2176,False
fixed_0.75,Atelectasis,0.75,22799,3122,3645,0.2771,0.2373,0.1599,False
fixed_0.75,Nodule,0.75,22799,1465,839,0.071,0.124,0.0368,False
fixed_0.75,Mass,0.75,22799,1582,2078,0.1764,0.1343,0.0911,False
fixed_0.75,Consolidation,0.75,22799,1768,8058,0.5481,0.1203,0.3534,False
fixed_0.75,Pneumothorax,0.75,22799,2633,2771,0.2909,0.2764,0.1215,False
fixed_0.75,Pleural_Thickening,0.75,22799,1041,1758,0.1777,0.1052,0.0771,False
fixed_0.75,Cardiomegaly,0.75,22799,974,755,0.1869,0.2411,0.0331,False
fixed_0.75,Edema,0.75,22799,911,1113,0.1405,0.115,0.0488,False
fixed_0.75,Emphysema,0.75,22799,1058,631,0.0633,0.1062,0.0277,False
fixed_0.75,Fibrosis,0.75,22799,367,132,0.0163,0.0455,0.0058,False
fixed_0.75,Pneumonia,0.75,22799,528,66,0.0038,0.0303,0.0029,False
validation_sens_floor_0.80,Infiltration,0.37,22799,5887,20425,0.947,0.2729,0.8959,False
validation_sens_floor_0.80,Effusion,0.32,22799,4520,17430,0.942,0.2443,0.7645,False
validation_sens_floor_0.80,Atelectasis,0.29,22799,3122,20176,0.9548,0.1477,0.885,False
validation_sens_floor_0.80,Nodule,0.4,22799,1465,16403,0.8205,0.0733,0.7195,False
validation_sens_floor_0.80,Mass,0.32,22799,1582,18899,0.9109,0.0762,0.8289,False
validation_sens_floor_0.80,Consolidation,0.08,22799,1768,21625,0.9881,0.0808,0.9485,False
validation_sens_floor_0.80,Pneumothorax,0.13,22799,2633,20161,0.9711,0.1268,0.8843,False
validation_sens_floor_0.80,Pleural_Thickening,0.13,22799,1041,20940,0.975,0.0485,0.9185,False
validation_sens_floor_0.80,Cardiomegaly,0.24,22799,974,11825,0.8049,0.0663,0.5187,False
validation_sens_floor_0.80,Edema,0.23,22799,911,11689,0.8518,0.0664,0.5127,False
validation_sens_floor_0.80,Emphysema,0.1,22799,1058,18199,0.913,0.0531,0.7982,False
validation_sens_floor_0.80,Fibrosis,0.11,22799,367,12545,0.8093,0.0237,0.5502,False
validation_sens_floor_0.80,Pneumonia,0.05,22799,528,21084,0.9356,0.0234,0.9248,False
grid_0.10,Infiltration,0.1,22799,5887,22769,0.9995,0.2584,0.9987,False
grid_0.10,Effusion,0.1,22799,4520,22015,0.9967,0.2046,0.9656,False
grid_0.10,Atelectasis,0.1,22799,3122,22437,0.9962,0.1386,0.9841,False
grid_0.10,Nodule,0.1,22799,1465,22759,0.9973,0.0642,0.9982,False
grid_0.10,Mass,0.1,22799,1582,22523,0.9937,0.0698,0.9879,False
grid_0.10,Consolidation,0.1,22799,1768,21285,0.9842,0.0817,0.9336,False
grid_0.10,Pneumothorax,0.1,22799,2633,21044,0.9825,0.1229,0.923,False
grid_0.10,Pleural_Thickening,0.1,22799,1041,21602,0.9875,0.0476,0.9475,False
grid_0.10,Cardiomegaly,0.1,22799,974,18316,0.9661,0.0514,0.8034,False
grid_0.10,Edema,0.1,22799,911,16783,0.9561,0.0519,0.7361,False
grid_0.10,Emphysema,0.1,22799,1058,18199,0.913,0.0531,0.7982,False
grid_0.10,Fibrosis,0.1,22799,367,13331,0.8174,0.0225,0.5847,False
grid_0.10,Pneumonia,0.1,22799,528,17649,0.8258,0.0247,0.7741,False
grid_0.15,Infiltration,0.15,22799,5887,22685,0.9981,0.259,0.995,False
grid_0.15,Effusion,0.15,22799,4520,21104,0.9903,0.2121,0.9257,False
grid_0.15,Atelectasis,0.15,22799,3122,21993,0.9894,0.1405,0.9646,False
grid_0.15,Nodule,0.15,22799,1465,22641,0.9932,0.0643,0.9931,False
grid_0.15,Mass,0.15,22799,1582,22170,0.9842,0.0702,0.9724,False
grid_0.15,Consolidation,0.15,22799,1768,20441,0.9723,0.0841,0.8966,False
grid_0.15,Pneumothorax,0.15,22799,2633,19583,0.9662,0.1299,0.8589,False
grid_0.15,Pleural_Thickening,0.15,22799,1041,20478,0.9616,0.0489,0.8982,False
grid_0.15,Cardiomegaly,0.15,22799,974,15932,0.9189,0.0562,0.6988,False
grid_0.15,Edema,0.15,22799,911,14440,0.9254,0.0584,0.6334,False
grid_0.15,Emphysema,0.15,22799,1058,15620,0.8459,0.0573,0.6851,False
grid_0.15,Fibrosis,0.15,22799,367,9874,0.7193,0.0267,0.4331,False
grid_0.15,Pneumonia,0.15,22799,528,13725,0.6629,0.0255,0.602,False
grid_0.20,Infiltration,0.2,22799,5887,22497,0.9942,0.2602,0.9868,False
grid_0.20,Effusion,0.2,22799,4520,20032,0.9823,0.2216,0.8786,False
grid_0.20,Atelectasis,0.2,22799,3122,21468,0.9782,0.1423,0.9416,False
grid_0.20,Nodule,0.2,22799,1465,22312,0.9891,0.0649,0.9786,False
grid_0.20,Mass,0.2,22799,1582,21546,0.9747,0.0716,0.945,False
grid_0.20,Consolidation,0.2,22799,1768,19688,0.9655,0.0867,0.8635,False
grid_0.20,Pneumothorax,0.2,22799,2633,17922,0.9377,0.1378,0.7861,False
grid_0.20,Pleural_Thickening,0.2,22799,1041,19004,0.9385,0.0514,0.8335,False
grid_0.20,Cardiomegaly,0.2,22799,974,13588,0.8604,0.0617,0.596,False
grid_0.20,Edema,0.2,22799,911,12662,0.8804,0.0633,0.5554,False
grid_0.20,Emphysema,0.2,22799,1058,13226,0.7561,0.0605,0.5801,False
grid_0.20,Fibrosis,0.2,22799,367,7469,0.6267,0.0308,0.3276,False
grid_0.20,Pneumonia,0.2,22799,528,9891,0.4924,0.0263,0.4338,False
grid_0.25,Infiltration,0.25,22799,5887,22189,0.9886,0.2623,0.9732,False
grid_0.25,Effusion,0.25,22799,4520,18993,0.9681,0.2304,0.8331,False
grid_0.25,Atelectasis,0.25,22799,3122,20805,0.967,0.1451,0.9125,False
grid_0.25,Nodule,0.25,22799,1465,21603,0.9734,0.066,0.9475,False
grid_0.25,Mass,0.25,22799,1582,20647,0.9526,0.073,0.9056,False
grid_0.25,Consolidation,0.25,22799,1768,18914,0.9548,0.0892,0.8296,False
