operating_point,mean_threshold,fired_alerts,alerts_per_100_followup_images,mean_alerts_per_radiograph,pct_radiographs_with_at_least_one_alert,false_share_pct,label_redundant_share_pct,prediction_redundant_share_pct,first_observed_share_pct,first_observed_share_of_correct_pct,missed_positive_fraction,sens_first_observed,sens_repeat,detection_gap_pp,smoke_test
frozen_primary,0.3769,158857,696.772,6.9677,98.189,87.52,10.314,11.646,2.165,17.352,0.2333,0.671,0.7904,11.948,False
fixed_0.50,0.5,112602,493.89,4.9389,94.658,84.106,13.438,14.766,2.456,15.455,0.3078,0.5395,0.7299,19.045,False
fixed_0.75,0.75,29783,130.633,1.3063,57.66,77.974,19.232,18.887,2.794,12.683,0.7463,0.1623,0.2763,11.405,False
validation_sens_floor_0.80,0.2131,231401,1014.961,10.1496,99.939,89.588,8.46,9.896,1.952,18.744,0.0682,0.8808,0.9444,6.36,False
grid_0.10,0.1,260712,1143.524,11.4352,100.0,90.257,7.856,9.311,1.887,19.369,0.0176,0.9596,0.988,2.841,False
grid_0.15,0.15,240686,1055.687,10.5569,100.0,89.628,8.397,9.893,1.975,19.039,0.0345,0.9271,0.975,4.796,False
grid_0.20,0.2,221305,970.679,9.7068,100.0,88.965,8.98,10.501,2.055,18.623,0.0555,0.8871,0.9587,7.164,False
grid_0.25,0.25,202712,889.127,8.8913,99.982,88.273,9.597,11.132,2.131,18.168,0.0806,0.8424,0.9385,9.609,False
grid_0.30,0.3,184971,811.312,8.1131,99.925,87.566,10.221,11.766,2.213,17.801,0.1105,0.7985,0.912,11.349,False
grid_0.35,0.35,167385,734.177,7.3418,99.711,86.796,10.928,12.468,2.277,17.243,0.1452,0.7433,0.8824,13.907,False
grid_0.40,0.4,149437,655.454,6.5545,99.004,85.956,11.704,13.203,2.34,16.663,0.1883,0.6821,0.8437,16.167,False
grid_0.45,0.45,131075,574.916,5.7492,97.272,85.047,12.555,13.98,2.397,16.031,0.242,0.6128,0.7939,18.108,False
grid_0.50,0.5,112602,493.89,4.9389,94.658,84.106,13.438,14.766,2.456,15.455,0.3078,0.5395,0.7299,19.045,False
grid_0.55,0.55,94033,412.444,4.1244,90.846,83.014,14.473,15.684,2.513,14.795,0.3823,0.4609,0.6565,19.563,False
grid_0.60,0.6,75890,332.865,3.3287,85.32,81.742,15.69,16.699,2.568,14.066,0.4641,0.3801,0.5744,19.427,False
grid_0.65,0.65,58921,258.437,2.5844,78.201,80.37,16.972,17.686,2.658,13.54,0.5527,0.3054,0.4824,17.697,False
grid_0.70,0.7,43356,190.166,1.9017,68.964,79.057,18.205,18.53,2.738,13.073,0.6488,0.2315,0.3808,14.925,False
grid_0.75,0.75,29783,130.633,1.3063,57.66,77.974,19.232,18.887,2.794,12.683,0.7463,0.1623,0.2763,11.405,False
grid_0.80,0.8,18334,80.416,0.8042,43.976,76.584,20.383,19.068,3.033,12.951,0.834,0.1084,0.1803,7.183,False
grid_0.85,0.85,9307,40.822,0.4082,27.94,75.416,21.661,18.416,2.923,11.888,0.9115,0.0531,0.0973,4.42,False
grid_0.90,0.9,3287,14.417,0.1442,11.9,71.676,25.099,18.436,3.225,11.386,0.964,0.0207,0.0398,1.912,False
